numero,mensagem_chat_sintetica,label_ia
1129283850,"Notificação Bradesco: Identificámos uma tentativa de acesso à sua conta a partir de um novo dispositivo. Para verificar se foi o utilizador, aceda ao painel de controlo: cutt.ly/pix",1
1129283850,"Deixei o livro de cálculo em cima da mesa da cozinha. Quando você vier pra faculdade, traz ele pra mim por favor.",0
0,Boa tarde! gostaria de agendar uma visita técnica para avaliar a instalação elétrica da loja,0
1129283850,Liquidamos tudo! Resgate o seu smartphone de última geração por apenas um terço do valor de tabela. Acesse a loja virtual exclusiva aqui.,1
0,Serasa: seu score subiu para 780 pontos após quitação de dívidas. parabéns!,0
1129283850,"ALERTA SANTANDER: Não pedimos senhas por SMS ou telefone. Se alguém ligar pedindo seu token de segurança, desligue imediatamente e ligue 4004-3535.",0
0,agência de marketing: recrutando promotores para curtir vídeos no TikTok. R$ 100 a R$ 300 por dia,1
1129283850,"Amazon BR: Compra efetuada no valor de R$ 1.500,00. O pedido será encaminhado para o endereço cadastrado. Caso necessite de alteração na entrega, confirme seus dados: detran-multa.info",1
1129283850,"Vivo: A sua recarga de R$ 20,00 foi efetuada com sucesso. Aproveite os seus benefícios de internet e ligações.",0
0,Rappi: não conseguimos localizar seu endereço. o entregador está tentando contato,0
0,"oi digitei seu número errado no Pix. me devolve R$ 33,00? a chave é meu celular mesmo",1
1129283850,Notificação Nubank: O aplicativo do seu banco expirou. É necessário reinstalar a camada de segurança para evitar o bloqueio preventivo da conta corrente. Sincronize: is.gd/banco,1
0,"pessoal, ALGUÉM pode me mandar o endereço da festa do João? tô aqui perdido e meu GPS descarregou",0
1129283850,Emprestimo pre aprovado na hora sem burocracia. Baixe o app e saque o valor para sua conta.,1
1129283850,"Prezado cliente Claro, identificamos uma divergência no CPF do titular da linha. Evite a suspensão dos serviços enviando a foto do seu documento de identidade para o nosso WhatsApp oficial.",1
0,"oi, tô viajando e fui assaltado. consegue me emprestar R$ 500 pra comprar passagem de volta?",1
1129283850,Moraes Advocacia: Ação Trabalhista protocolada contra a sua empresa. O prazo para manifestação da defesa se encerra hoje. Baixe a cópia da petição inicial: is.gd/banco,1
1129283850,"Mercado Pago ALERTA: Uma compra no valor de R$ 1.750,00 foi autorizada no seu cartão. Para bloquear o cartão e reverter o valor, confirme sua biometria neste acesso seguro: cutt.ly/pix",1
0,lembrete: campanha de vacinação contra gripe até o final do mês. procure a UBS mais próxima,0
1129283850,"A encomenda chegou! O porteiro acabou de interfonar avisando que deixou a caixa lá na portaria. Quando eu descer, eu pego.",0
0,"ganhe dinheiro extra avaliando roupas da Shein em casa. R$ 250 por dia. Taxa de ativação: R$ 19,90",1
0,encontramos seu currículo e gostaríamos de saber se você tem interesse na vaga de analista,0
1129283850,"Mercado Pago: Compra de R$ 1.999,90 aprovada nas Lojas Americanas. Caso não reconheça, contate a central de atendimento pelo 0800 123 4567 para contestação.",1
1129283850,Código de segurança do Instagram: 394281. Nunca forneça este código a terceiros.,0
1129283850,Confirmação: A sua chave Pix para pagamento da fatura de serviços foi registada com sucesso no sistema do banco.,0
1129283850,Atenção: O prazo para a regularização do seu alvará de funcionamento expira hoje. Evite multas e sanções emitindo a guia de recolhimento no nosso painel do empreendedor.,1
1129283850,"Oi, tudo bem? Desculpa incomodar, mas podes enviar-me de volta aquele código de seis números que chegou por SMS no teu telemóvel agora? Fui iniciar sessão no meu iFood e coloquei o teu número por engano.",1
1129283850,Lembrete do Fleury: Seus exames laboratoriais estão agendados para amanhã às 07:00. O jejum de 12 horas é obrigatório. Não esqueça o documento com foto.,0
0,"a cobrança automática da Netflix de R$ 44,90 será debitada amanhã na sua conta",0
0,"pessoal, a prova de TTI302 foi remarcada para semana que vem. confiram o portal do aluno",0
1129283850,"Central de Cartões: Compra de R$ 1.250,00 aprovada no cartão final 9201. Para mais detalhes ou para contestar, ligue para a central de atendimento no verso do seu cartão.",1
1129283850,ALERTA CAIXA: Seu Auxílio Emergencial foi retido por inconsistência nos dados bancários. Acesse o portal para atualizar as informações e liberar o saque via Pix: bb-renegociar.com,1
1129283850,"Bom dia, aqui é do escritório Hilú Advocacia. Representamos o Banco Santander no seu processo de cobrança. Estamos com condições de abatimento de juros, gostaria de ouvir?",1
1129283850,URGENTE: Falha no pagamento da apólice do seu seguro auto. O veículo encontra-se descoberto a partir de hoje. Renove a apólice efetuando o pagamento da mensalidade atrasada: bit.ly/cpf-reg,1
1129283850,O código de acesso ao portal do aluno é 4821. Utilize a chave de segurança para validar o seu login na página: https://imt.instructure.com,0
1129283850,A revisão do carro tá marcada pra amanhã às 8h. O mecânico falou que devo gastar uns 400 reais se tiver que trocar o óleo também.,0
6132073332,"Ministério da Saúde: Você tem um novo agendamento via SUS. Acesse o aplicativo oficial Meu SUS Digital para verificar a data, horário e local.",0
1129283850,"Oi, o link do drive com a arte da banda tá aí. Lembra de substituir só o rosto do guitarrista pelo daquele indivíduo solitário específico, o resto da foto fica igual.",0
0,mãe tô no hospital com o neném e sem dinheiro pra comprar a fralda. me manda R$ 40 pelo pix?,1
1129283850,"Enel Informa: Faremos uma manutenção programada e melhorias na rede elétrica da sua rua amanhã, das 10h às 14h. Poderá haver interrupção no fornecimento de energia.",0
1129283850,Boa tarde. O orçamento para a revisão do pneu e alinhamento ficou em 380 reais. Podemos aprovar a ordem de serviço?,0
1129283850,"Mercado Livre: Seu pagamento de R$ 345,00 foi aprovado. A estimativa de entrega é entre 24/05 e 26/05. Acompanhe a rota no app.",0
0,"prezado, identificamos uma tentativa de acesso indevido à sua conta. recomendamos trocar a senha pelo app",0
1129283850,"O script no Sonic Pi ficou gigante, mas consegui acertar o tempo da bateria. Depois te mostro como ficou a música.",0
0,"Nubank: identificamos tentativa de login incomum. Se foi você, ignore. Se não foi, troque a senha no app.",0
1129283850,"Olá, somos do setor de qualidade. O seu número foi pré-selecionado para avaliar restaurantes no Google Maps. A remuneração é diária e flexível.",1
0,"oi, o estoque do produto zerou. preciso de autorização para fazer o pedido de reposição urgente",0
0,"cara, recebeu um SMS com número de verificação? é meu, precisava acessar meu WhatsApp de outro aparelho",1
1129283850,Sua conta do Insta vai ser excluida. Acesse o link,1
1129283850,"Pessoal, preciso que vocês me mandem o Pix de 30 reais da pizza de ontem urgente, o entregador tá cobrando aqui.",0
1129283850,ATENÇÃO ENEL: A energia da sua região será cortada amanhã das 09:00 às 13:00 para manutenção preventiva na rede elétrica.,0
0,Oi! é da escola? minha filha passou mal. a diretora me ligou mas perdi a chamada. o que aconteceu?,0
1129283850,"Banco Bradesco: Débito Automático no valor de R$299,90 programado para amanhã referente a 'Seguro Protege'. Para cancelar esta adesão, envie CANCELAR para o número 4004.",1
1129283850,"Prezado cliente, informamos que a partir do próximo mês, a nossa política de privacidade e os termos de uso do aplicativo serão atualizados para estarem em conformidade com as novas diretrizes da LGPD. Para continuar utilizando os serviços do seu cartão, pedimos que leia e aceite os novos termos diretamente na aba de configurações do seu aplicativo oficial. Em caso de dúvidas, ligue para o nosso SAC.",0
1129283850,"Oi, desculpa a demora! Estava no trânsito. Você tem o contacto daquele pedreiro que fez o chão da sua cozinha?",0
1129283850,URGENTE: Notificação da Receita Federal. CPF irregular por pendências na Declaração de Imposto de Renda. O bloqueio de contas bancárias ocorrerá em 24h. Acesse: nubank-contestar.net,1
0,"Bom dia, é da clínica? preciso remarcar minha consulta com urgência, tive um imprevisto hoje",0
1129283850,"Ola Neusa, sobre o imovel na: Rua avenida brasil 123. Temos clientes interessados nesse tipo de imovel. Esta disponivel? Responda SIM ou NAO? Sofia da Flow Imove",1
1129283850,Ministério da Fazenda: Seu CPF/CNPJ consta na Dívida Ativa da União. O bloqueio judicial de contas (BacenJud) ocorrerá em 24h. Regularize o DARF em: serasa-acordo.mobi,1
1129283850,Urgente: Aceda ao nosso app para liberar o seu saldo bloqueado. Link: detran-multa.info,1
0,"seu investimento em CDB rendeu R$ 34,20 este mês. saldo total: R$ 5.234,20",0
0,oi! tô no mercado — você precisa de alguma coisa? posso passar na sua casa depois,0
1129283850,Notificação de Sistema: O seu acesso ao painel do CloudFormation foi restrito por questões de auditoria. Valide a sua identidade na página do administrador imediatamente.,1
0,"Oi, é da recepção do condomínio? minha filha tá lá embaixo esperando há 20 minutos, interfone não funciona",0
0,"oi, mudei de número! salva aí. tô num problema financeiro e precisava de um favor urgente",1
1129283850,"Oi mãe, perdi meu celular e tô usando esse número novo. Salva aí. Pode me fazer um Pix de R$ 120 pra eu pagar o conserto do antigo? 11999999999",1
1129283850,"Xbox Live: Houve um conflito na sincronização do seu save na nuvem para The Binding of Isaac: Repentance. Por favor, resolva o conflito no seu console para não perder o progresso.",0
1129283850,"Apple ID AVISO: Seu dispositivo iCloud foi bloqueado permanentemente devido a tentativas de fraude. Para restaurar o acesso aos seus dados e fotos, valide sua identidade: fgts-beneficios.net",1
