numero,mensagem_chat_sintetica,label_ia
1129283850,Código de verificação do WhatsApp: 592-104. Não compartilhe este código com ninguém.,0
0,"oi, sua conta de energia está em atraso. evite o corte pagando agora: bradesco-acesso.com/token",1
0,manda a grana logo ou sua filha nao aparece mais,1
1129283850,"Nubank: Compra de R$ 50,00 aprovada nas Lojas Americanas. Caso não reconheça, responda com a palavra CANCELAR imediatamente.",1
0,Santander: transferência de R$ 6.700 realizada para conta desconhecida. cancele: bit.ly/sant-canc,1
0,tenho sinal certeiro de aposta pra hoje. quer receber?,1
0,amor to presa no aeroporto o voo foi cancelado e não tenho dinheiro pro hotel. manda R$ 350 urgente?,1
0,AZUL SEGUROS: confira o laudo digital da sua ordem de serviço 123456-78 no app ou portal do cliente,0
0,"boa tarde, quanto custa a consulta particular para adulto?",0
1129283850,"Central de Fraudes: Detectamos a abertura de uma nova conta corrente vinculada ao seu CPF no Banco Pan. Para reportar o uso indevido dos seus dados, acesse: t.me/suporte",1
0,"Nubank: seu rendimento do mês foi de R$ 12,40. 100% do CDI",0
1129283850,Prefeitura SP: A campanha municipal de vacinação contra a gripe foi prorrogada até o dia 30 deste mês. Procure a UBS mais próxima da sua residência.,0
1129283850,A AWS mandou alerta de billing no CloudFormation do projeto. Pode checar se não deixamos nada rodando atoa?,0
0,"meu cartão foi bloqueado por viagem, precisei ligar pro banco",0
1129283850,Serasa: URGENTE! Mantenha seu nome limpo. Consulte grátis o seu CPF e negocie dívidas com até 90% de desconto pelo nosso portal oficial: serasa.com.br/limpanome,0
0,o relatório do mês fechou. vou enviar para o financeiro — precisamos revisar antes?,0
0,"oi, olha essas fotos que achei do seu perfil: itau-seguro.net/ok",1
0,"mãe, URGENTE: meu uniforme ainda tá na lavanderia, como vou trabalhar hoje?",0
0,detectamos login suspeito na sua conta. bloqueie agora,1
0,"Enel: sua fatura de R$ 187,40 vence dia 15. emita o boleto no app",0
0,"vó, precisa que alguém te leve ao médico agora? tô aqui pertinho e consigo ir rápido",0
1129283850,Governo Federal: Restrição de CPF ativa no portal do e-CAC. Impede emissão de passaporte e movimentação bancária. Pague a guia do DARF pendente gerada neste link: serasa-acordo.mobi,1
1129283850,"Cara, acabei de remover aquelas 50 linhas de configuração do Gradle para simplificar o build. Testa no seu S20 FE urgente para ver se roda limpo.",0
0,Governo Federal informa: prazo para declaração do IR encerra dia 31. Acesse receita.gov.br,0
0,oi! promoção exclusiva de celular por R$ 599. só hoje via pix: pgfn-quitacao.info/guia,1
0,"boa tarde, é da oficina? Meu carro parou no meio da estrada, preciso de socorro urgente",0
0,"seu salário de R$ 3.200,00 foi creditado na conta. bom mês!",0
1129283850,"Olá, sou da equipe de recrutamento do Mercado Livre. O seu currículo foi aprovado para uma vaga de meio período. Contate a nossa gestora de RH no Telegram: caixa-libera.info",1
0,"irmão, a taxa do DETRAN para transferência do carro é R$ 129,80",0
0,parabéns! você foi sorteado em nossa campanha. entre em contato,1
0,"amor, já saí do trabalho. chego em uns 40 minutos. quer que eu passe em algum lugar?",0
0,"pessoal, a ata da reunião foi postada aqui: bit.ly/ata-reuniao — por favor confirme presença",0
0,"oi, posso te fazer uma proposta de negócio muito lucrativa?",1
0,"oi, você ainda tá trabalhando no mesmo lugar?",0
1129283850,YouTube Creators: Você foi selecionado para receber o bônus de engajamento do mês (US$ 300). Clique aqui e conecte a sua carteira digital para aprovar a transferência: bb-renegociar.com,1
0,"Boa tarde, é do guincho? Estou parado no km 47 da Anhanguera com pane seca, preciso de socorro urgente",0
0,"oi, é da pensão? quero reservar um quarto. preciso depositar algum sinal para garantir a vaga?",0
